"","edgeuid","median_average_speed"
"956",153328782,6.53
"957",153328822,9.92
"958",153328883,6.77
"959",153328884,5.605
"960",153328887,9.39
"961",153328889,6.81
"962",153328893,6.16
"963",153328896,6.535
"964",153328897,6.81
"965",153328913,9.51
"966",153328914,8.14
"967",153328918,9.14
"968",153328919,6.94
"969",153328920,9.47
"970",153328921,9
"971",153328922,6.63
"972",153328923,6.35
"973",153328925,5.22
"974",153328926,6.72
"975",153328928,6.37
"976",153328929,5.67
"977",153328931,5.95
"978",153328932,8.89
"979",153328938,9.745
"980",153328940,7.39
"981",153328977,7.005
"982",153328980,7.45
"983",153328990,9.49
"984",153328995,9.61
"985",153329026,9.82
"986",153329027,9.96
"987",153329028,3.89
"988",153329029,7.805
"989",153329040,6.73
"990",153329048,7.29
"991",153329049,7.18
"992",153329055,7.2
"993",153329057,6.57
"994",153329074,6.68
"995",153329076,7.15
"996",153329077,6.89
"997",153329079,6.94
"998",153329104,6.88
"999",153329107,6.98
"1000",153329109,6.81
"1001",153329110,6.9
"1002",153329115,4.86
"1003",153329124,6.9
"1004",153329161,6.95
"1005",153329162,6.52
"1006",153329163,7.14
"1007",153329166,9.62
"1008",153329167,7.1
"1009",153329176,9.2
"1010",153329178,9.11
"1011",153329181,8.95
"1012",153329185,8.44
"1013",153329188,7.76
"1014",153329190,7.98
"1015",153329192,8.12
"1016",153329196,18.78
"1017",153329197,6.66
"1018",153329214,5.39
"1019",153329216,5.02
"1020",153329217,4.21
"1021",153329218,4.48
"1022",153329219,4.04
"1023",153329222,9.79
"1024",153329227,8.53
"1025",153329234,3.57
"1026",153329235,2.5
"1027",153329246,8.74
"1028",153329248,7.32
"1029",153329253,10.71
"1030",153329254,4.56
"1031",153329255,3.53
"1032",153329256,4.88
"1033",153329257,1.34
"1034",153329268,4.55
"1035",153329269,6.145
"1036",153329270,2.81
"1037",153329271,4.69
"1038",153329272,3.84
"1039",153329273,4.63
"1040",153329274,6.8
"1041",153329275,7.595
"1042",153329279,5.41
"1043",153329280,4.46
"1044",153329282,7.305
"1045",153329294,7.26
"1046",153329295,8.81
"1047",153329296,8.15
"1048",153329298,6.01
"1049",153329301,3.71
"1050",153329303,3.85
"1051",153329305,3.92
"1052",153329313,6.07
"1053",153329320,6.27
"1054",153329342,7.83
"1055",153329343,8.88
"1056",153329345,8.06
"1057",153329349,7.1
"1058",153329350,7.27
"1059",153329390,7.57
"1060",153329400,3.69
"1061",153329419,3.22
"1062",153329422,4.57
"1063",153329430,4.5
"1064",153329433,4.49
"1065",153329458,4.04
"1066",153329459,4.3
"1067",153329462,4.52
"1068",153329464,4.29
"1069",153329465,9.445
"1070",153329476,9.43
"1071",153329477,8.885
"1072",153329480,8.335
"1073",153329482,7.485
"1074",153329486,8.11
"1075",153329493,5.12
"1076",153329494,7.33
