"","edgeuid","year","total_trips"
"778",153319565,2019,5
"779",153319566,2019,5
"780",153319566,2021,10
"781",153319567,2019,5
"782",153319942,2019,5
"783",153319943,2019,5
"784",153319943,2021,10
"785",153319944,2019,5
"786",153319947,2019,5
"787",153319953,2019,5
"788",153319953,2021,10
"789",153319954,2019,5
"790",153319954,2021,15
"791",153319955,2019,5
"792",153319958,2019,5
"793",153319958,2021,15
"794",153319961,2019,5
"795",153319965,2019,5
"796",153319966,2019,5
"797",153320001,2019,5
"798",153320001,2021,15
"799",153320002,2019,5
"800",153320002,2021,15
"801",153320003,2019,5
"802",153320004,2019,5
"803",153320005,2019,5
"804",153320008,2019,5
"805",153320119,2021,5
"806",153320124,2021,5
"807",153320126,2019,5
"808",153320135,2019,5
"809",153320135,2021,5
"810",153320136,2019,5
"811",153320137,2019,5
"812",153320140,2019,5
"813",153320147,2019,5
"814",153320148,2019,5
"815",153320149,2021,5
"816",153320151,2021,5
"817",153320155,2019,5
"818",153320155,2021,5
"819",153320156,2019,5
"820",153320190,2019,5
"821",153320190,2021,5
"822",153320191,2019,5
"823",153320192,2019,5
"824",153320193,2019,5
"825",153320197,2019,5
"826",153327768,2019,10
"827",153327779,2019,10
"828",153327779,2021,5
"829",153327780,2019,10
"830",153327783,2019,10
"831",153327784,2019,5
"832",153327785,2019,5
"833",153327794,2019,15
"834",153327801,2019,15
"835",153327805,2019,15
"836",153327808,2019,15
"837",153327811,2019,15
"838",153327813,2019,15
"839",153327814,2019,15
"840",153327816,2019,15
"841",153327818,2019,10
"842",153327818,2021,15
"843",153327940,2019,100
"844",153327941,2019,100
"845",153327945,2019,100
"846",153328022,2019,5
"847",153328030,2019,105
"848",153328034,2019,45
"849",153328037,2019,45
"850",153328040,2019,105
"851",153328043,2019,105
"852",153328044,2019,105
"853",153328045,2019,105
"854",153328046,2019,105
"855",153328048,2019,45
"856",153328051,2019,45
"857",153328053,2019,10
"858",153328078,2019,105
"859",153328078,2021,235
"860",153328081,2019,100
"861",153328082,2019,110
"862",153328083,2019,10
"863",153328084,2019,10
"864",153328087,2019,95
"865",153328098,2019,45
"866",153328100,2019,25
"867",153328100,2021,70
"868",153328101,2019,100
"869",153328102,2019,35
"870",153328103,2019,25
"871",153328104,2019,25
"872",153328105,2019,45
"873",153328105,2021,130
"874",153328106,2019,45
"875",153328107,2019,25
"876",153328108,2019,25
"877",153328108,2021,50
"878",153328109,2019,25
"879",153328124,2019,10
"880",153328126,2019,10
"881",153328131,2019,10
"882",153328133,2019,50
"883",153328133,2021,135
"884",153328134,2019,30
"885",153328137,2019,45
"886",153328138,2019,30
"887",153328139,2019,30
"888",153328140,2019,45
"889",153328140,2021,25
"890",153328141,2019,30
"891",153328143,2019,5
"892",153328144,2019,40
"893",153328145,2019,5
"894",153328146,2019,35
"895",153328153,2019,35
"896",153328154,2019,10
"897",153328155,2019,40
"898",153328156,2019,10
"899",153328157,2019,10
"900",153328159,2019,10
"901",153328161,2019,40
"902",153328163,2019,40
"903",153328164,2019,40
"904",153328164,2021,30
"905",153328165,2019,35
"906",153328167,2019,40
"907",153328170,2019,40
"908",153328171,2019,45
"909",153328183,2019,40
"910",153328184,2019,40
"911",153328186,2019,45
"912",153328188,2019,45
"913",153328191,2019,45
"914",153328192,2019,45
"915",153328203,2019,10
"916",153328204,2019,10
"917",153328215,2019,40
"918",153328217,2019,55
"919",153328219,2019,10
"920",153328223,2019,10
"921",153328224,2019,10
"922",153328226,2019,10
"923",153328227,2019,10
"924",153328267,2019,45
"925",153328280,2019,5
"926",153328282,2019,5
"927",153328283,2019,5
"928",153328284,2019,5
"929",153328285,2021,15
"930",153328286,2019,5
"931",153328287,2019,5
"932",153328289,2019,5
"933",153328298,2019,5
"934",153328303,2019,5
"935",153328305,2019,5
"936",153328308,2019,5
"937",153328316,2019,45
"938",153328317,2019,45
"939",153328319,2019,40
"940",153328319,2021,20
"941",153328322,2019,40
"942",153328324,2019,40
"943",153328325,2019,45
"944",153328326,2019,45
"945",153328327,2019,45
"946",153328345,2019,45
"947",153328349,2019,45
"948",153328349,2021,25
"949",153328354,2019,40
"950",153328355,2019,10
"951",153328356,2019,10
"952",153328359,2019,45
"953",153328361,2019,45
"954",153328368,2019,45
"955",153328370,2019,45
"956",153328370,2021,25
