"","edgeuid","weekday","total_trips"
"12891",153780044,"Sun",65
"12892",153780044,"Mon",5
"12893",153780044,"Tue",10
"12894",153780044,"Thu",5
"12895",153780044,"Fri",5
"12896",153780044,"Sat",5
"12897",153780084,"Sun",55
"12898",153780084,"Mon",5
"12899",153780084,"Tue",10
"12900",153780084,"Thu",5
"12901",153780084,"Fri",5
"12902",153780084,"Sat",5
"12903",153780086,"Sun",170
"12904",153780086,"Mon",20
"12905",153780086,"Tue",95
"12906",153780086,"Wed",60
"12907",153780086,"Thu",45
"12908",153780086,"Fri",65
"12909",153780086,"Sat",240
"12910",153780087,"Sun",65
"12911",153780087,"Tue",10
"12912",153780087,"Thu",5
"12913",153780087,"Fri",5
"12914",153780087,"Sat",5
"12915",153780089,"Sun",55
"12916",153780089,"Tue",10
"12917",153780089,"Wed",5
"12918",153780089,"Thu",5
"12919",153780089,"Fri",5
"12920",153780089,"Sat",5
"12921",153780091,"Sun",155
"12922",153780091,"Mon",25
"12923",153780091,"Tue",90
"12924",153780091,"Wed",45
"12925",153780091,"Thu",45
"12926",153780091,"Fri",65
"12927",153780091,"Sat",240
"12928",153780123,"Sun",65
"12929",153780123,"Mon",5
"12930",153780123,"Tue",5
"12931",153780123,"Thu",5
"12932",153780123,"Fri",5
"12933",153780123,"Sat",5
"12934",153780126,"Sun",65
"12935",153780126,"Mon",5
"12936",153780126,"Tue",5
"12937",153780126,"Thu",5
"12938",153780126,"Fri",5
"12939",153780126,"Sat",5
"12940",153780242,"Sun",2755
"12941",153780242,"Mon",1005
"12942",153780242,"Tue",975
"12943",153780242,"Wed",1090
"12944",153780242,"Thu",1155
"12945",153780242,"Fri",1625
"12946",153780242,"Sat",2725
"12947",153780244,"Sun",2760
"12948",153780244,"Mon",1015
"12949",153780244,"Tue",975
"12950",153780244,"Wed",1095
"12951",153780244,"Thu",1145
"12952",153780244,"Fri",1635
"12953",153780244,"Sat",2705
"12954",153780251,"Sun",2775
"12955",153780251,"Mon",1020
"12956",153780251,"Tue",980
"12957",153780251,"Wed",1090
"12958",153780251,"Thu",1145
"12959",153780251,"Fri",1670
"12960",153780251,"Sat",2730
"12961",153780253,"Sun",2645
"12962",153780253,"Mon",965
"12963",153780253,"Tue",935
"12964",153780253,"Wed",1035
"12965",153780253,"Thu",1110
"12966",153780253,"Fri",1610
"12967",153780253,"Sat",2580
"12968",153780260,"Sun",35
"12969",153780260,"Mon",5
"12970",153780260,"Tue",5
"12971",153780260,"Fri",15
"12972",153780260,"Sat",20
"12973",153780264,"Sun",30
"12974",153780264,"Mon",5
"12975",153780264,"Tue",5
"12976",153780264,"Thu",5
"12977",153780264,"Fri",15
"12978",153780264,"Sat",15
"12979",153780274,"Sun",2640
"12980",153780274,"Mon",950
"12981",153780274,"Tue",945
"12982",153780274,"Wed",1040
"12983",153780274,"Thu",1090
"12984",153780274,"Fri",1645
"12985",153780274,"Sat",2575
"12986",153780276,"Sun",2660
"12987",153780276,"Mon",960
"12988",153780276,"Tue",930
"12989",153780276,"Wed",1045
"12990",153780276,"Thu",1100
"12991",153780276,"Fri",1635
"12992",153780276,"Sat",2580
"12993",153780279,"Sun",2620
"12994",153780279,"Mon",955
"12995",153780279,"Tue",970
"12996",153780279,"Wed",1035
"12997",153780279,"Thu",1100
"12998",153780279,"Fri",1650
"12999",153780279,"Sat",2575
"13000",153780280,"Sun",2625
"13001",153780280,"Mon",960
"13002",153780280,"Tue",970
"13003",153780280,"Wed",1035
"13004",153780280,"Thu",1105
"13005",153780280,"Fri",1645
"13006",153780280,"Sat",2565
"13007",153780286,"Sun",2610
"13008",153780286,"Mon",965
"13009",153780286,"Tue",970
"13010",153780286,"Wed",1030
"13011",153780286,"Thu",1095
"13012",153780286,"Fri",1645
"13013",153780286,"Sat",2565
"13014",153780287,"Thu",5
"13015",153780297,"Sun",2610
"13016",153780297,"Mon",975
"13017",153780297,"Tue",965
"13018",153780297,"Wed",1020
"13019",153780297,"Thu",1115
"13020",153780297,"Fri",1645
"13021",153780297,"Sat",2565
"13022",153780298,"Sun",2635
"13023",153780298,"Mon",975
"13024",153780298,"Tue",965
"13025",153780298,"Wed",1035
"13026",153780298,"Thu",1120
"13027",153780298,"Fri",1645
"13028",153780298,"Sat",2545
"13029",153780308,"Thu",5
"13030",153780314,"Sun",2650
"13031",153780314,"Mon",960
"13032",153780314,"Tue",945
"13033",153780314,"Wed",1035
"13034",153780314,"Thu",1105
"13035",153780314,"Fri",1625
"13036",153780314,"Sat",2580
"13037",153780317,"Sun",2650
"13038",153780317,"Mon",955
"13039",153780317,"Tue",935
"13040",153780317,"Wed",1040
"13041",153780317,"Thu",1105
"13042",153780317,"Fri",1635
"13043",153780317,"Sat",2580
"13044",153780334,"Thu",5
"13045",153780336,"Thu",5
"13046",153780340,"Thu",5
"13047",153780341,"Thu",5
"13048",153780343,"Thu",5
"13049",153780348,"Thu",5
"13050",153780352,"Thu",5
"13051",153780354,"Thu",5
"13052",153780355,"Thu",5
"13053",153780370,"Thu",5
"13054",153780379,"Sun",2660
"13055",153780379,"Mon",975
"13056",153780379,"Tue",995
"13057",153780379,"Wed",1020
"13058",153780379,"Thu",1135
"13059",153780379,"Fri",1640
"13060",153780379,"Sat",2555
"13061",153780388,"Sun",2510
"13062",153780388,"Mon",900
"13063",153780388,"Tue",960
"13064",153780388,"Wed",985
"13065",153780388,"Thu",1105
"13066",153780388,"Fri",1565
"13067",153780388,"Sat",2440
"13068",153780393,"Sun",2655
"13069",153780393,"Mon",980
"13070",153780393,"Tue",985
"13071",153780393,"Wed",1030
"13072",153780393,"Thu",1105
"13073",153780393,"Fri",1630
"13074",153780393,"Sat",2575
"13075",153780394,"Sun",2650
"13076",153780394,"Mon",985
"13077",153780394,"Tue",985
"13078",153780394,"Wed",1030
"13079",153780394,"Thu",1105
"13080",153780394,"Fri",1635
"13081",153780394,"Sat",2575
"13082",153780395,"Thu",5
"13083",153780395,"Fri",5
"13084",153780399,"Thu",10
"13085",153780399,"Fri",10
"13086",153780401,"Thu",10
"13087",153780401,"Fri",10
"13088",153780403,"Thu",10
"13089",153780403,"Fri",5
"13090",153780406,"Sun",2645
"13091",153780406,"Mon",985
"13092",153780406,"Tue",960
"13093",153780406,"Wed",1025
"13094",153780406,"Thu",1120
"13095",153780406,"Fri",1630
"13096",153780406,"Sat",2540
"13097",153780408,"Sun",2640
"13098",153780408,"Mon",980
"13099",153780408,"Tue",965
"13100",153780408,"Wed",1025
"13101",153780408,"Thu",1125
"13102",153780408,"Fri",1635
"13103",153780408,"Sat",2540
"13104",153780416,"Sun",2660
"13105",153780416,"Mon",975
"13106",153780416,"Tue",985
"13107",153780416,"Wed",1020
"13108",153780416,"Thu",1115
"13109",153780416,"Fri",1635
"13110",153780416,"Sat",2575
"13111",153780418,"Sun",2660
"13112",153780418,"Mon",980
"13113",153780418,"Tue",980
"13114",153780418,"Wed",1030
"13115",153780418,"Thu",1110
"13116",153780418,"Fri",1635
"13117",153780418,"Sat",2570
"13118",153780420,"Sun",10
"13119",153780420,"Mon",5
"13120",153780421,"Sun",2655
"13121",153780421,"Mon",970
"13122",153780421,"Tue",990
"13123",153780421,"Wed",1010
"13124",153780421,"Thu",1120
"13125",153780421,"Fri",1645
"13126",153780421,"Sat",2545
"13127",153780425,"Sun",5
"13128",153780425,"Sat",10
"13129",153780433,"Wed",5
"13130",153780433,"Thu",5
"13131",153780433,"Sat",5
"13132",153780485,"Sun",50
"13133",153780485,"Mon",10
"13134",153780485,"Tue",20
"13135",153780485,"Wed",10
"13136",153780485,"Thu",15
"13137",153780485,"Fri",15
"13138",153780485,"Sat",30
"13139",153780507,"Sun",15
"13140",153780507,"Sat",5
"13141",153780513,"Sun",10
"13142",153780513,"Sat",5
"13143",153780545,"Sat",5
"13144",153780546,"Sat",5
"13145",153780548,"Sat",5
"13146",153780558,"Sat",5
"13147",153780561,"Sat",5
"13148",153780562,"Mon",15
"13149",153780562,"Sat",10
"13150",153780565,"Mon",15
"13151",153780565,"Sat",10
"13152",153780566,"Sun",5
"13153",153780566,"Tue",10
"13154",153780566,"Sat",5
"13155",153780593,"Sun",10
"13156",153780593,"Sat",5
"13157",153780596,"Sun",10
"13158",153780596,"Sat",5
"13159",153780697,"Sun",5
"13160",153780697,"Fri",5
"13161",153780717,"Mon",5
"13162",153780717,"Fri",5
"13163",153780754,"Wed",5
"13164",153780816,"Sun",15
"13165",153780816,"Mon",10
"13166",153780816,"Tue",5
"13167",153780816,"Wed",5
"13168",153780816,"Thu",10
"13169",153780816,"Sat",15
"13170",153780818,"Sat",5
"13171",153780842,"Sun",15
"13172",153780848,"Sat",10
"13173",153780849,"Sat",5
"13174",153780850,"Sat",5
"13175",153780863,"Sat",10
"13176",153780864,"Sat",10
"13177",153780867,"Sun",20
"13178",153780867,"Tue",5
"13179",153780867,"Sat",5
"13180",153780868,"Sun",15
"13181",153780868,"Tue",5
"13182",153780868,"Sat",5
"13183",153780874,"Sun",15
"13184",153780874,"Tue",5
"13185",153780874,"Sat",5
"13186",153780877,"Sun",15
"13187",153780877,"Tue",5
"13188",153780877,"Sat",5
"13189",153780878,"Sun",15
"13190",153780878,"Tue",5
"13191",153780878,"Sat",5
"13192",153780882,"Sun",15
"13193",153780882,"Tue",5
"13194",153780882,"Sat",5
"13195",153780884,"Sun",15
"13196",153780884,"Tue",5
"13197",153780884,"Sat",5
"13198",153780891,"Sun",15
"13199",153780891,"Tue",5
"13200",153780891,"Sat",5
"13201",153780892,"Sun",15
"13202",153780892,"Tue",10
"13203",153780892,"Thu",5
"13204",153780892,"Sat",5
"13205",153780894,"Thu",5
"13206",153780895,"Thu",5
"13207",153780896,"Sun",10
"13208",153780897,"Sun",15
"13209",153780897,"Sat",5
"13210",153780898,"Sun",10
"13211",153780898,"Thu",5
"13212",153780898,"Sat",5
"13213",153780901,"Fri",5
"13214",153780902,"Fri",5
"13215",153780903,"Sun",20
"13216",153780903,"Mon",5
"13217",153780903,"Tue",5
"13218",153780903,"Thu",10
"13219",153780903,"Fri",20
"13220",153780903,"Sat",15
"13221",153780926,"Sun",20
"13222",153780926,"Mon",5
"13223",153780926,"Tue",5
"13224",153780926,"Thu",10
"13225",153780926,"Fri",20
"13226",153780926,"Sat",15
"13227",153780927,"Sun",10
"13228",153780928,"Sun",20
"13229",153780928,"Mon",5
"13230",153780928,"Tue",5
"13231",153780928,"Thu",10
"13232",153780928,"Fri",25
"13233",153780928,"Sat",15
"13234",153780933,"Sat",5
"13235",153780934,"Sat",5
"13236",153780940,"Sun",365
"13237",153780940,"Mon",130
"13238",153780940,"Tue",180
"13239",153780940,"Wed",170
"13240",153780940,"Thu",120
"13241",153780940,"Fri",215
"13242",153780940,"Sat",405
"13243",153780942,"Sat",5
"13244",153780956,"Sun",60
"13245",153780956,"Mon",10
"13246",153780956,"Tue",10
"13247",153780956,"Wed",25
"13248",153780956,"Thu",15
"13249",153780956,"Fri",20
"13250",153780956,"Sat",25
"13251",153780957,"Sun",5
"13252",153780957,"Fri",5
"13253",153780958,"Sun",55
"13254",153780958,"Mon",5
"13255",153780958,"Tue",10
"13256",153780958,"Wed",20
"13257",153780958,"Thu",10
"13258",153780958,"Fri",25
"13259",153780958,"Sat",30
"13260",153780963,"Sun",60
"13261",153780963,"Mon",10
"13262",153780963,"Tue",10
"13263",153780963,"Wed",25
"13264",153780963,"Thu",10
"13265",153780963,"Fri",20
"13266",153780963,"Sat",20
"13267",153780964,"Sun",60
"13268",153780964,"Mon",15
"13269",153780964,"Tue",10
"13270",153780964,"Wed",25
