"","edgeuid","total_trips"
"841",153328284,5
"842",153328285,15
"843",153328286,5
"844",153328287,5
"845",153328289,5
"846",153328298,5
"847",153328303,5
"848",153328305,5
"849",153328308,5
"850",153328316,45
"851",153328317,45
"852",153328319,60
"853",153328322,40
"854",153328324,40
"855",153328325,45
"856",153328326,45
"857",153328327,45
"858",153328345,45
"859",153328349,70
"860",153328354,40
"861",153328355,10
"862",153328356,10
"863",153328359,45
"864",153328361,45
"865",153328368,45
"866",153328370,70
"867",153328373,40
"868",153328374,10
"869",153328375,40
"870",153328376,45
"871",153328377,55
"872",153328378,45
"873",153328379,55
"874",153328381,45
"875",153328383,40
"876",153328384,60
"877",153328385,60
"878",153328387,60
"879",153328388,45
"880",153328391,40
"881",153328393,40
"882",153328407,5
"883",153328408,20
"884",153328413,5
"885",153328416,60
"886",153328419,5
"887",153328421,5
"888",153328426,20
"889",153328427,20
"890",153328429,15
"891",153328437,20
"892",153328474,30
"893",153328475,10
"894",153328476,65
"895",153328481,25
"896",153328482,10
"897",153328484,10
"898",153328485,30
"899",153328488,5
"900",153328489,30
"901",153328490,45
"902",153328494,60
"903",153328495,5
"904",153328505,60
"905",153328506,45
"906",153328508,45
"907",153328510,55
"908",153328512,5
"909",153328514,40
"910",153328517,60
"911",153328520,40
"912",153328524,60
"913",153328525,40
"914",153328533,40
"915",153328536,40
"916",153328537,35
"917",153328538,40
"918",153328541,5
"919",153328543,20
"920",153328545,5
"921",153328549,45
"922",153328563,30
"923",153328580,55
"924",153328588,5
"925",153328589,5
"926",153328592,10
"927",153328598,45
"928",153328609,45
"929",153328611,45
"930",153328618,30
"931",153328624,35
"932",153328629,30
"933",153328652,35
"934",153328653,85
"935",153328655,45
"936",153328657,45
"937",153328663,45
"938",153328664,85
"939",153328666,45
"940",153328679,40
"941",153328691,90
"942",153328693,35
"943",153328696,40
"944",153328698,40
"945",153328700,80
"946",153328737,20
"947",153328743,80
"948",153328744,40
"949",153328748,40
"950",153328753,90
"951",153328755,40
"952",153328760,35
"953",153328762,5
"954",153328769,5
"955",153328780,40
"956",153328782,40
"957",153328822,20
"958",153328883,5
"959",153328884,40
"960",153328887,35
"961",153328889,40
"962",153328893,40
"963",153328896,40
"964",153328897,40
"965",153328913,40
"966",153328914,5
"967",153328918,35
"968",153328919,5
"969",153328920,40
"970",153328921,35
"971",153328922,35
"972",153328923,5
"973",153328925,5
"974",153328926,5
"975",153328928,5
"976",153328929,5
"977",153328931,5
"978",153328932,35
"979",153328938,40
"980",153328940,5
"981",153328977,60
"982",153328980,210
"983",153328990,35
"984",153328995,35
"985",153329026,35
"986",153329027,35
"987",153329028,10
"988",153329029,55
"989",153329040,50
"990",153329048,40
"991",153329049,40
"992",153329055,40
"993",153329057,40
"994",153329074,40
"995",153329076,40
"996",153329077,50
"997",153329079,40
"998",153329104,20
"999",153329107,40
"1000",153329109,50
"1001",153329110,40
"1002",153329115,5
"1003",153329124,40
"1004",153329161,50
"1005",153329162,40
"1006",153329163,40
"1007",153329166,35
"1008",153329167,40
"1009",153329176,40
"1010",153329178,35
"1011",153329181,35
"1012",153329185,35
"1013",153329188,40
"1014",153329190,40
"1015",153329192,40
"1016",153329196,5
"1017",153329197,40
"1018",153329214,10
"1019",153329216,10
"1020",153329217,10
"1021",153329218,10
"1022",153329219,10
"1023",153329222,30
"1024",153329227,30
"1025",153329234,10
"1026",153329235,10
"1027",153329246,10
"1028",153329248,10
"1029",153329253,25
"1030",153329254,10
"1031",153329255,10
"1032",153329256,10
"1033",153329257,10
"1034",153329268,10
"1035",153329269,70
"1036",153329270,10
"1037",153329271,5
"1038",153329272,5
"1039",153329273,35
"1040",153329274,75
"1041",153329275,70
"1042",153329279,5
"1043",153329280,5
"1044",153329282,70
"1045",153329294,80
"1046",153329295,10
"1047",153329296,80
"1048",153329298,10
"1049",153329301,10
"1050",153329303,10
"1051",153329305,10
"1052",153329313,10
"1053",153329320,10
"1054",153329342,35
"1055",153329343,40
"1056",153329345,35
"1057",153329349,35
"1058",153329350,40
"1059",153329390,40
"1060",153329400,5
"1061",153329419,5
"1062",153329422,10
"1063",153329430,10
"1064",153329433,10
"1065",153329458,10
"1066",153329459,10
"1067",153329462,10
"1068",153329464,10
"1069",153329465,30
"1070",153329476,30
"1071",153329477,30
"1072",153329480,30
"1073",153329482,50
"1074",153329486,30
"1075",153329493,10
"1076",153329494,35
"1077",153329497,35
"1078",153329502,35
"1079",153329503,30
"1080",153329505,10
"1081",153329506,5
"1082",153329507,10
"1083",153329509,10
"1084",153329510,10
"1085",153329511,10
"1086",153329512,15
"1087",153329514,15
"1088",153329525,30
"1089",153329532,15
"1090",153329535,50
"1091",153329536,50
"1092",153329584,35
"1093",153329587,35
"1094",153329599,35
"1095",153329600,35
"1096",153329601,35
"1097",153329603,35
"1098",153329604,5
"1099",153329605,10
"1100",153329613,50
"1101",153329615,50
"1102",153329616,50
"1103",153329638,35
"1104",153329641,10
"1105",153329646,30
"1106",153329647,30
"1107",153329648,35
"1108",153329649,10
"1109",153329650,40
"1110",153329652,40
"1111",153329653,40
"1112",153329654,50
"1113",153329655,10
"1114",153329658,10
"1115",153329661,10
"1116",153329662,50
"1117",153329668,50
"1118",153329672,10
"1119",153329675,45
"1120",153329680,10
"1121",153329682,10
"1122",153329686,5
"1123",153329687,35
"1124",153329688,5
"1125",153329689,5
"1126",153329690,30
"1127",153329691,30
"1128",153329694,30
"1129",153329695,35
"1130",153329698,30
"1131",153329700,30
"1132",153329702,35
"1133",153329703,35
"1134",153329704,10
"1135",153329706,75
"1136",153329707,35
"1137",153329711,40
"1138",153329712,35
"1139",153329713,40
"1140",153329714,35
"1141",153329715,40
"1142",153329717,40
"1143",153329719,35
"1144",153329721,10
"1145",153329722,30
"1146",153329724,60
"1147",153329725,50
"1148",153329726,55
"1149",153329728,45
"1150",153329729,60
"1151",153329730,55
"1152",153329732,45
"1153",153329733,30
"1154",153329734,55
"1155",153329735,30
"1156",153329736,40
"1157",153329738,35
"1158",153329739,35
"1159",153329740,5
"1160",153329742,10
"1161",153329744,10
"1162",153329746,55
"1163",153329750,15
"1164",153329752,10
"1165",153329753,10
"1166",153329754,35
"1167",153329755,15
"1168",153329757,15
"1169",153329758,10
"1170",153329760,10
"1171",153329762,25
"1172",153329764,30
"1173",153329765,25
"1174",153329780,20
"1175",153329783,5
"1176",153329788,10
"1177",153329790,10
"1178",153329797,25
"1179",153329799,10
"1180",153329802,10
"1181",153329810,10
"1182",153329812,10
"1183",153329813,10
"1184",153329815,10
"1185",153329816,10
"1186",153329818,10
"1187",153329819,10
"1188",153329838,10
"1189",153329845,10
"1190",153329846,10
"1191",153329851,10
"1192",153329864,15
"1193",153329865,20
"1194",153329868,20
"1195",153329870,20
"1196",153329871,20
"1197",153329872,20
"1198",153329873,30
"1199",153329887,35
"1200",153329888,20
"1201",153329889,20
"1202",153329890,20
"1203",153329891,20
"1204",153329896,35
"1205",153329897,35
"1206",153329898,20
"1207",153329901,20
"1208",153329917,10
"1209",153329918,10
"1210",153329922,10
"1211",153329927,10
"1212",153329928,10
"1213",153329938,10
"1214",153329971,10
"1215",153329979,10
"1216",153329986,10
"1217",153329989,10
"1218",153329999,5
"1219",153330001,5
"1220",153330005,10
"1221",153330007,10
"1222",153330008,10
"1223",153330011,15
"1224",153330013,10
"1225",153330014,10
"1226",153330016,10
"1227",153330017,10
"1228",153330020,5
"1229",153330024,5
"1230",153330025,5
"1231",153330026,10
"1232",153330035,10
"1233",153330036,5
"1234",153330037,5
"1235",153330038,310
"1236",153330039,5
"1237",153330040,115
"1238",153330041,115
"1239",153330043,25
"1240",153330050,30
"1241",153330052,10
"1242",153330053,30
"1243",153330054,35
"1244",153330055,15
"1245",153330059,10
"1246",153330061,10
"1247",153330065,10
"1248",153330066,30
"1249",153330071,20
"1250",153330074,10
"1251",153330075,10
"1252",153330079,10
"1253",153330081,250
"1254",153330082,325
"1255",153330083,5
"1256",153330084,10
"1257",153330085,20
"1258",153330088,10
"1259",153330089,30
"1260",153330090,15
"1261",153330091,5
"1262",153330092,30
"1263",153330093,10
"1264",153330094,10
"1265",153330097,10
"1266",153330108,10
"1267",153330110,40
"1268",153330111,10
"1269",153330112,15
"1270",153330113,40
"1271",153330120,40
"1272",153330121,10
"1273",153330123,15
"1274",153330125,45
"1275",153330126,5
"1276",153330127,40
"1277",153330128,5
"1278",153330129,15
"1279",153330151,20
"1280",153330154,20
"1281",153330155,20
"1282",153330156,20
"1283",153330159,5
"1284",153330160,10
"1285",153330163,10
"1286",153330167,10
"1287",153330168,10
"1288",153330171,10
"1289",153330175,10
"1290",153330182,10
"1291",153330183,10
"1292",153330185,10
"1293",153330187,10
"1294",153330192,20
"1295",153330193,20
"1296",153330195,25
"1297",153330201,20
"1298",153330232,25
"1299",153330233,5
"1300",153330234,15
"1301",153330236,5
"1302",153330238,120
"1303",153330239,290
"1304",153330240,95
"1305",153330241,85
"1306",153330242,35
"1307",153330264,35
"1308",153330267,25
"1309",153330271,25
"1310",153330273,10
"1311",153330276,10
"1312",153330279,10
"1313",153330280,10
"1314",153330283,10
"1315",153330284,25
"1316",153330287,25
"1317",153330288,25
"1318",153330290,5
"1319",153330291,5
"1320",153330301,55
"1321",153330306,55
"1322",153330313,140
"1323",153330314,140
"1324",153330317,10
"1325",153330318,140
"1326",153330319,150
"1327",153330320,15
"1328",153330322,10
"1329",153330323,5
"1330",153330324,55
"1331",153330325,75
"1332",153330326,75
"1333",153330328,140
"1334",153330329,60
"1335",153330330,140
"1336",153330333,50
"1337",153330334,60
"1338",153330339,10
"1339",153330340,10
"1340",153330342,10
"1341",153330343,10
"1342",153330345,45
"1343",153330346,10
"1344",153330347,55
"1345",153330348,55
"1346",153330349,50
"1347",153330350,50
"1348",153330351,40
"1349",153330352,25
"1350",153330353,30
"1351",153330356,30
"1352",153330357,25
"1353",153330358,20
"1354",153330359,5
"1355",153330360,25
"1356",153330361,10
"1357",153330364,40
"1358",153330366,30
"1359",153330367,15
"1360",153330368,15
"1361",153330369,295
"1362",153330371,15
"1363",153330372,130
"1364",153330374,140
"1365",153330437,10
"1366",153330440,95
"1367",153330442,10
"1368",153330443,125
"1369",153330444,125
"1370",153330447,35
"1371",153330449,30
"1372",153330450,30
"1373",153330451,30
"1374",153330452,300
"1375",153330453,125
"1376",153330456,125
"1377",153330461,130
"1378",153330462,130
"1379",153330464,130
"1380",153330466,320
"1381",153330467,320
"1382",153330469,10
"1383",153330470,10
"1384",153330480,10
"1385",153330497,5
"1386",153330502,20
"1387",153330503,30
"1388",153330505,30
"1389",153330506,55
"1390",153330507,20
"1391",153330510,55
"1392",153330512,130
"1393",153330515,5
"1394",153330577,10
"1395",153330578,10
"1396",153330579,10
"1397",153330580,10
"1398",153330589,10
"1399",153330593,55
"1400",153330594,65
"1401",153330598,55
"1402",153330602,55
"1403",153330605,130
"1404",153330606,130
"1405",153330607,5
"1406",153330609,5
"1407",153330611,5
"1408",153330613,5
"1409",153330616,5
"1410",153330618,5
"1411",153330629,55
"1412",153330630,55
"1413",153330631,55
"1414",153330632,75
"1415",153330635,5
"1416",153330637,5
"1417",153330638,5
"1418",153330641,5
"1419",153330643,60
"1420",153330645,75
"1421",153330648,60
"1422",153330653,5
"1423",153330655,180
"1424",153330656,15
"1425",153330657,5
"1426",153330672,390
"1427",153330675,185
"1428",153330684,10
"1429",153330696,10
"1430",153330698,10
"1431",153330706,10
"1432",153330708,10
"1433",153330717,60
"1434",153330718,60
"1435",153330720,75
"1436",153330722,60
"1437",153330730,170
"1438",153330738,165
"1439",153330740,10
"1440",153330757,75
"1441",153330758,60
"1442",153330760,75
"1443",153330765,75
"1444",153330767,60
"1445",153330769,60
"1446",153330778,10
"1447",153330779,10
"1448",153330780,10
"1449",153330901,10
"1450",153330902,10
"1451",153330907,10
"1452",153330911,10
"1453",153330912,20
"1454",153331004,140
"1455",153331331,5
"1456",153331614,10
"1457",153331615,15
"1458",153331616,10
"1459",153331617,15
"1460",153331629,30
"1461",153331632,25
"1462",153331635,25
"1463",153331636,45
"1464",153331637,45
"1465",153331641,25
"1466",153331679,10
"1467",153331680,5
"1468",153331682,15
"1469",153331683,30
"1470",153331684,30
"1471",153331685,30
"1472",153331687,35
"1473",153331694,25
"1474",153331697,30
"1475",153331699,35
"1476",153331700,35
"1477",153331759,20
"1478",153331761,20
"1479",153331777,20
"1480",153331778,10
"1481",153331779,20
"1482",153331781,15
"1483",153331782,20
"1484",153331801,10
"1485",153331805,20
"1486",153331809,20
"1487",153331822,10
"1488",153331832,20
"1489",153331836,20
"1490",153331838,20
"1491",153331839,10
"1492",153331840,20
"1493",153331858,20
"1494",153331870,10
