"","edgeuid","month","total_trips"
"977",153328408,"September",20
"978",153328413,"June",5
"979",153328416,"June",40
"980",153328416,"September",20
"981",153328419,"June",5
"982",153328421,"June",5
"983",153328426,"June",5
"984",153328426,"September",15
"985",153328427,"June",5
"986",153328427,"September",15
"987",153328429,"September",15
"988",153328437,"September",20
"989",153328474,"June",10
"990",153328474,"September",20
"991",153328475,"June",10
"992",153328476,"June",65
"993",153328481,"June",10
"994",153328481,"September",15
"995",153328482,"June",10
"996",153328484,"June",10
"997",153328485,"June",10
"998",153328485,"September",20
"999",153328488,"June",5
"1000",153328489,"June",10
"1001",153328489,"September",20
"1002",153328490,"June",45
"1003",153328494,"June",40
"1004",153328494,"September",20
"1005",153328495,"June",5
"1006",153328505,"June",60
"1007",153328506,"June",45
"1008",153328508,"June",45
"1009",153328510,"June",55
"1010",153328512,"September",5
"1011",153328514,"June",40
"1012",153328517,"June",40
"1013",153328517,"September",20
"1014",153328520,"June",40
"1015",153328524,"June",40
"1016",153328524,"September",20
"1017",153328525,"June",40
"1018",153328533,"June",40
"1019",153328536,"June",40
"1020",153328537,"June",35
"1021",153328538,"June",40
"1022",153328541,"June",5
"1023",153328543,"June",5
"1024",153328543,"September",15
"1025",153328545,"June",5
"1026",153328549,"June",45
"1027",153328563,"June",30
"1028",153328580,"June",55
"1029",153328588,"June",5
"1030",153328589,"June",5
"1031",153328592,"June",10
"1032",153328598,"June",45
"1033",153328609,"June",45
"1034",153328611,"June",45
"1035",153328618,"June",30
"1036",153328624,"June",30
"1037",153328624,"September",5
"1038",153328629,"June",30
"1039",153328652,"June",35
"1040",153328653,"June",45
"1041",153328653,"September",40
"1042",153328655,"June",45
"1043",153328657,"June",45
"1044",153328663,"June",45
"1045",153328664,"June",45
"1046",153328664,"September",40
"1047",153328666,"June",45
"1048",153328679,"June",40
"1049",153328691,"June",40
"1050",153328691,"September",50
"1051",153328693,"June",35
"1052",153328696,"June",40
"1053",153328698,"June",40
"1054",153328700,"June",40
"1055",153328700,"September",40
"1056",153328737,"September",20
"1057",153328743,"June",40
"1058",153328743,"September",40
"1059",153328744,"June",40
"1060",153328748,"June",40
"1061",153328753,"June",40
"1062",153328753,"September",50
"1063",153328755,"June",40
"1064",153328760,"June",35
"1065",153328762,"June",5
"1066",153328769,"September",5
"1067",153328780,"June",40
"1068",153328782,"June",40
"1069",153328822,"September",20
"1070",153328883,"June",5
"1071",153328884,"June",5
"1072",153328884,"September",35
"1073",153328887,"June",35
"1074",153328889,"June",40
"1075",153328893,"June",5
"1076",153328893,"September",35
"1077",153328896,"June",5
"1078",153328896,"September",35
"1079",153328897,"June",5
"1080",153328897,"September",35
"1081",153328913,"June",35
"1082",153328913,"September",5
"1083",153328914,"June",5
"1084",153328918,"June",35
"1085",153328919,"June",5
"1086",153328920,"June",35
"1087",153328920,"September",5
"1088",153328921,"June",35
"1089",153328922,"June",5
"1090",153328922,"September",30
"1091",153328923,"June",5
"1092",153328925,"June",5
"1093",153328926,"June",5
"1094",153328928,"June",5
"1095",153328929,"June",5
"1096",153328931,"June",5
"1097",153328932,"June",35
"1098",153328938,"June",35
"1099",153328938,"September",5
"1100",153328940,"June",5
"1101",153328977,"June",60
"1102",153328980,"June",60
"1103",153328980,"September",150
"1104",153328990,"June",35
"1105",153328995,"June",30
"1106",153328995,"September",5
"1107",153329026,"June",35
"1108",153329027,"June",35
"1109",153329028,"June",10
"1110",153329029,"June",55
"1111",153329040,"June",40
"1112",153329040,"September",10
"1113",153329048,"June",40
"1114",153329049,"June",40
"1115",153329055,"June",40
"1116",153329057,"June",40
"1117",153329074,"June",40
"1118",153329076,"June",40
"1119",153329077,"June",40
"1120",153329077,"September",10
"1121",153329079,"June",40
"1122",153329104,"September",20
"1123",153329107,"June",40
